"","Oeuvre","motifs","n","total","nrel","Balzac-Goriot.txt-ut8.txt","Flaubert-Bovary.txt-ut8.txt","Huysmans-Rebours.txt-ut8.txt"
"1","Flaubert-Bovary.txt-ut8.txt","le NC de le NC",813,141162,0.00575934033238407,-15.7047,13.7671,-0.3209
"2","Balzac-Goriot.txt-ut8.txt","le NC de le NC",373,110662,0.00337062406246047,-15.7047,13.7671,-0.3209
"3","Huysmans-Rebours.txt-ut8.txt","le NC de le NC",371,79201,0.00468428428933978,-15.7047,13.7671,-0.3209
"4","Flaubert-Bovary.txt-ut8.txt","NC de le NC ,",361,141162,0.00255734546124311,-16.3246,9.614,1.1241
"5","Flaubert-Bovary.txt-ut8.txt","à le NC de le",208,141162,0.0014734843654808,-3.0249,5.3424,-1.4164
"6","Huysmans-Rebours.txt-ut8.txt","NC de le NC ,",174,79201,0.00219694195780356,-16.3246,9.614,1.1241
"7","Flaubert-Bovary.txt-ut8.txt","NC de le NC .",164,141162,0.00116178574970601,-1.4693,6.2641,-4.1493
"8","Flaubert-Bovary.txt-ut8.txt","le NC , le NC",163,141162,0.00115470169025658,-7.5031,1.7623,3.0493
"9","Flaubert-Bovary.txt-ut8.txt","le NC de DETPOSS NC",161,141162,0.00114053357135773,-1.3314,0.7257,0.6504
"10","Huysmans-Rebours.txt-ut8.txt","de le NC de NC",150,79201,0.00189391548086514,-15.4477,-0.7522,Inf
"11","Huysmans-Rebours.txt-ut8.txt","NC , de le NC",142,79201,0.001792906655219,-17.7838,-1.3609,Inf
"12","Flaubert-Bovary.txt-ut8.txt","de le NC de NC",129,141162,0.00091384366897607,-15.4477,-0.7522,Inf
"13","Balzac-Goriot.txt-ut8.txt","NC de le NC ,",124,110662,0.00112052917894128,-16.3246,9.614,1.1241
"14","Flaubert-Bovary.txt-ut8.txt","le NC de NC ,",110,141162,0.000779246539436959,-10.1048,1.5858,4.6437
"15","Huysmans-Rebours.txt-ut8.txt","de le NC ADJ ,",110,79201,0.00138887135263444,-10.4787,-1.4415,15.9546
"16","Huysmans-Rebours.txt-ut8.txt","le NC , le NC",106,79201,0.00133836693981137,-7.5031,1.7623,3.0493
"17","Balzac-Goriot.txt-ut8.txt","le NC de DETPOSS NC",104,110662,0.000939798666208816,-1.3314,0.7257,0.6504
"18","Flaubert-Bovary.txt-ut8.txt","NC , de le NC",102,141162,0.000722574063841544,-17.7838,-1.3609,Inf
"19","Balzac-Goriot.txt-ut8.txt","à le NC de le",100,110662,0.000903652563662323,-3.0249,5.3424,-1.4164
"20","Flaubert-Bovary.txt-ut8.txt","le NC de un NC",97,141162,0.000687153766594409,0.3148,-1.5288,1.6767
"21","Huysmans-Rebours.txt-ut8.txt","le NC ADJ de le",96,79201,0.00121210590775369,-5.587,-3.7697,15.9546
"22","Huysmans-Rebours.txt-ut8.txt","le NC de DETPOSS NC",92,79201,0.00116160149493062,-1.3314,0.7257,0.6504
"23","Balzac-Goriot.txt-ut8.txt","le NC de un NC",89,110662,0.000804250781659468,0.3148,-1.5288,1.6767
"24","Huysmans-Rebours.txt-ut8.txt","le NC , de le",86,79201,0.00108584487569601,-9.8466,-0.6176,11.3638
"25","Huysmans-Rebours.txt-ut8.txt",", le NC de le",85,79201,0.00107321877249025,-14.906,0.5111,10.904
"26","Flaubert-Bovary.txt-ut8.txt","NC de DETPOSS NC ,",84,141162,0.00059506099375186,-1.1367,1.0562,-0.3188
