"","mots","ngrammot","motifs","Oeuvre"
"1","Honoré","Honoré de Balzac Le","PPAS de NP le","Balzac-Goriot"
"2","de","de Balzac Le père","de NP le NC","Balzac-Goriot"
"3","Balzac","Balzac Le père Goriot","NP le NC NP","Balzac-Goriot"
"4","Le","Le père Goriot À","le NC NP à","Balzac-Goriot"
"5","père","père Goriot À le","NC NP à le","Balzac-Goriot"
"6","Goriot","Goriot À le grand","NP à le ADJ","Balzac-Goriot"
"7","À","À le grand et","à le ADJ et","Balzac-Goriot"
"8","le","le grand et illustre","le ADJ et ADJ","Balzac-Goriot"
"9","grand","grand et illustre Geoffroy-Saint-Hilaire","ADJ et ADJ NP","Balzac-Goriot"
"10","et","et illustre Geoffroy-Saint-Hilaire ,","et ADJ NP ,","Balzac-Goriot"
"11","illustre","illustre Geoffroy-Saint-Hilaire , Comme","ADJ NP , comme","Balzac-Goriot"
"12","Geoffroy-Saint-Hilaire","Geoffroy-Saint-Hilaire , Comme un","NP , comme un","Balzac-Goriot"
"13",",",", Comme un témoignage",", comme un NC","Balzac-Goriot"
"14","Comme","Comme un témoignage d’","comme un NC NP","Balzac-Goriot"
"15","un","un témoignage d’ admiration","un NC NP NCABS","Balzac-Goriot"
"16","témoignage","témoignage d’ admiration de","NC NP NCABS de","Balzac-Goriot"
"17","d’","d’ admiration de ses","NP NCABS de DETPOSS","Balzac-Goriot"
"18","admiration","admiration de ses travaux","NCABS de DETPOSS NC","Balzac-Goriot"
"19","de","de ses travaux et","de DETPOSS NC et","Balzac-Goriot"
"20","ses","ses travaux et de","DETPOSS NC et de","Balzac-Goriot"
"21","travaux","travaux et de son","NC et de DETPOSS","Balzac-Goriot"
"22","et","et de son génie","et de DETPOSS NC","Balzac-Goriot"
"23","de","de son génie .","de DETPOSS NC .","Balzac-Goriot"
"24","son","son génie . De","DETPOSS NC . de","Balzac-Goriot"
"25","génie","génie . De Balzac","NC . de NP","Balzac-Goriot"
"26",".",". De Balzac .",". de NP .","Balzac-Goriot"
"27","De","De Balzac . Madame","de NP . NC","Balzac-Goriot"
"28","Balzac","Balzac . Madame Vauquer","NP . NC NP","Balzac-Goriot"
"29",".",". Madame Vauquer ,",". NC NP ,","Balzac-Goriot"
"30","Madame","Madame Vauquer , née","NC NP , PPAS","Balzac-Goriot"
"31","Vauquer","Vauquer , née de","NP , PPAS de","Balzac-Goriot"
"32",",",", née de Conflans",", PPAS de NP","Balzac-Goriot"
"33","née","née de Conflans ,","PPAS de NP ,","Balzac-Goriot"
"34","de","de Conflans , est","de NP , être","Balzac-Goriot"
"35","Conflans","Conflans , est une","NP , être un","Balzac-Goriot"
"36",",",", est une vieille",", être un ADJ","Balzac-Goriot"
"37","est","est une vieille femme","être un ADJ NC","Balzac-Goriot"
"38","une","une vieille femme qui","un ADJ NC qui","Balzac-Goriot"
