"","mots","motifs","Oeuvre"
"1","Honoré","PPAS","Balzac-Goriot"
"2","de","de","Balzac-Goriot"
"3","Balzac","NP","Balzac-Goriot"
"4","Le","le","Balzac-Goriot"
"5","père","NC","Balzac-Goriot"
"6","Goriot","NP","Balzac-Goriot"
"7","À","à","Balzac-Goriot"
"8","le","le","Balzac-Goriot"
"9","grand","ADJ","Balzac-Goriot"
"10","et","et","Balzac-Goriot"
"11","illustre","ADJ","Balzac-Goriot"
"12","Geoffroy-Saint-Hilaire","NP","Balzac-Goriot"
"13",",",",","Balzac-Goriot"
"14","Comme","comme","Balzac-Goriot"
"15","un","un","Balzac-Goriot"
"16","témoignage","NC","Balzac-Goriot"
"17","d’","NP","Balzac-Goriot"
"18","admiration","NCABS","Balzac-Goriot"
"19","de","de","Balzac-Goriot"
"20","ses","DETPOSS","Balzac-Goriot"
"21","travaux","NC","Balzac-Goriot"
"22","et","et","Balzac-Goriot"
"23","de","de","Balzac-Goriot"
"24","son","DETPOSS","Balzac-Goriot"
"25","génie","NC","Balzac-Goriot"
"26",".",".","Balzac-Goriot"
"27","De","de","Balzac-Goriot"
"28","Balzac","NP","Balzac-Goriot"
"29",".",".","Balzac-Goriot"
"30","Madame","NC","Balzac-Goriot"
"31","Vauquer","NP","Balzac-Goriot"
"32",",",",","Balzac-Goriot"
"33","née","PPAS","Balzac-Goriot"
"34","de","de","Balzac-Goriot"
"35","Conflans","NP","Balzac-Goriot"
"36",",",",","Balzac-Goriot"
"37","est","être","Balzac-Goriot"
"38","une","un","Balzac-Goriot"
"39","vieille","ADJ","Balzac-Goriot"
"40","femme","NC","Balzac-Goriot"
"41","qui","qui","Balzac-Goriot"
"42",",",",","Balzac-Goriot"
"43","depuis","depuis","Balzac-Goriot"
"44","quarante","NUM","Balzac-Goriot"
"45","ans","NC","Balzac-Goriot"
"46",",",",","Balzac-Goriot"
"47","tient","PRES","Balzac-Goriot"
"48","à","à","Balzac-Goriot"
"49","Paris","NP","Balzac-Goriot"
"50","une","un","Balzac-Goriot"
"51","pension","NC","Balzac-Goriot"
"52","bourgeoise","ADJ","Balzac-Goriot"
"53","établie","PPAS","Balzac-Goriot"
"54","rue","NC","Balzac-Goriot"
"55","Neuve-Sainte-Geneviève","NP","Balzac-Goriot"
"56",",",",","Balzac-Goriot"
"57","entre","entre","Balzac-Goriot"
"58","le","le","Balzac-Goriot"
"59","quartier","NC","Balzac-Goriot"
"60","latin","ADJ","Balzac-Goriot"
"61","et","et","Balzac-Goriot"
"62","le","le","Balzac-Goriot"
"63","faubourg","NC","Balzac-Goriot"
"64","Saint-Marceau","NP","Balzac-Goriot"
"65",".",".","Balzac-Goriot"
"66","Cette","ce","Balzac-Goriot"
"67","pension","NC","Balzac-Goriot"
"68",",",",","Balzac-Goriot"
"69","connue","PPAS","Balzac-Goriot"
"70","sous","sous","Balzac-Goriot"
"71","le","le","Balzac-Goriot"
"72","nom","NC","Balzac-Goriot"
"73","de","de","Balzac-Goriot"
"74","la","le","Balzac-Goriot"
"75","Maison","NP","Balzac-Goriot"
"76","Vauquer","NP","Balzac-Goriot"
"77",",",",","Balzac-Goriot"
"78","admet","PRES","Balzac-Goriot"
"79","également","également","Balzac-Goriot"
"80","de","de","Balzac-Goriot"
"81","les","le","Balzac-Goriot"
"82","hommes","NC","Balzac-Goriot"
"83","et","et","Balzac-Goriot"
"84","de","de","Balzac-Goriot"
"85","les","le","Balzac-Goriot"
"86","femmes","NC","Balzac-Goriot"
"87",",",",","Balzac-Goriot"
"88","de","de","Balzac-Goriot"
"89","les","le","Balzac-Goriot"
"90","jeunes","ADJ","Balzac-Goriot"
"91","gens","NC","Balzac-Goriot"
"92","et","et","Balzac-Goriot"
"93","de","de","Balzac-Goriot"
"94","les","le","Balzac-Goriot"
"95","vieillards","NC","Balzac-Goriot"
"96",",",",","Balzac-Goriot"
"97","sans","sans","Balzac-Goriot"
"98","que","que","Balzac-Goriot"
"99","jamais","jamais","Balzac-Goriot"
"100","la","le","Balzac-Goriot"
"101","médisance","NC","Balzac-Goriot"
"102","ait","avoir","Balzac-Goriot"
"103","attaqué","PPAS","Balzac-Goriot"
"104","les","le","Balzac-Goriot"
"105","mœurs","NC","Balzac-Goriot"
"106","de","de","Balzac-Goriot"
"107","ce","ce","Balzac-Goriot"
"108","respectable","ADJ","Balzac-Goriot"
"109","établissement","NC","Balzac-Goriot"
"110",".",".","Balzac-Goriot"
"111","Mais","mais","Balzac-Goriot"
"112","aussi","aussi","Balzac-Goriot"
"113","depuis","depuis","Balzac-Goriot"
"114","trente","NUM","Balzac-Goriot"
"115","ans","NC","Balzac-Goriot"
"116","ne","ne","Balzac-Goriot"
"117","s’","NP","Balzac-Goriot"
"118","y","y","Balzac-Goriot"
"119","était","être","Balzac-Goriot"
"120","-il","il","Balzac-Goriot"
"121","jamais","jamais","Balzac-Goriot"
"122","vu","PPAS","Balzac-Goriot"
"123","de","un","Balzac-Goriot"
"124","jeune","ADJ","Balzac-Goriot"
"125","personne","NC","Balzac-Goriot"
"126",",",",","Balzac-Goriot"
"127","et","et","Balzac-Goriot"
"128","pour","pour","Balzac-Goriot"
"129","qu’","NP","Balzac-Goriot"
"130","un","un","Balzac-Goriot"
"131","jeune","ADJ","Balzac-Goriot"
"132","homme","NC","Balzac-Goriot"
"133","y","y","Balzac-Goriot"
"134","demeure","VSUBP","Balzac-Goriot"
"135",",",",","Balzac-Goriot"
"136","sa","DETPOSS","Balzac-Goriot"
"137","famille","NC","Balzac-Goriot"
"138","doit","PRES","Balzac-Goriot"
"139","-elle","il","Balzac-Goriot"
"140","lui","lui","Balzac-Goriot"
"141","faire","INF","Balzac-Goriot"
"142","une","un","Balzac-Goriot"
"143","bien","bien","Balzac-Goriot"
"144","maigre","ADJ","Balzac-Goriot"
"145","pension","NC","Balzac-Goriot"
"146",".",".","Balzac-Goriot"
"147","Néanmoins","ADV","Balzac-Goriot"
"148",",",",","Balzac-Goriot"
"149","en","en","Balzac-Goriot"
"150","1819","NUM","Balzac-Goriot"
"151",",",",","Balzac-Goriot"
"152","époque","NC","Balzac-Goriot"
"153","à","à","Balzac-Goriot"
"154","laquelle","lequel","Balzac-Goriot"
"155","ce","ce","Balzac-Goriot"
"156","drame","NCABS","Balzac-Goriot"
"157","commence","PRES","Balzac-Goriot"
"158",",",",","Balzac-Goriot"
"159","il","il","Balzac-Goriot"
"160","s’","NP","Balzac-Goriot"
"161","y","y","Balzac-Goriot"
"162","trouvait","VIMP","Balzac-Goriot"
"163","une","un","Balzac-Goriot"
"164","pauvre","NC","Balzac-Goriot"
"165","jeune","ADJ","Balzac-Goriot"
"166","fille","NC","Balzac-Goriot"
"167",".",".","Balzac-Goriot"
"168","En","en","Balzac-Goriot"
"169","quelque","quelque","Balzac-Goriot"
"170","discrédit","NCABS","Balzac-Goriot"
"171","que","que","Balzac-Goriot"
"172","soit","être","Balzac-Goriot"
"173","tombé","PPAS","Balzac-Goriot"
"174","le","le","Balzac-Goriot"
"175","mot","NC","Balzac-Goriot"
"176","drame","PRES","Balzac-Goriot"
"177","par","par","Balzac-Goriot"
"178","la","le","Balzac-Goriot"
"179","manière","NC","Balzac-Goriot"
"180","abusive","ADJ","Balzac-Goriot"
"181","et","et","Balzac-Goriot"
"182","tortionnaire","ADJ","Balzac-Goriot"
"183","dont","dont","Balzac-Goriot"
"184","il","il","Balzac-Goriot"
"185","a","avoir","Balzac-Goriot"
"186","été","être","Balzac-Goriot"
"187","prodigué","PPAS","Balzac-Goriot"
"188","dans","dans","Balzac-Goriot"
"189","ces","ce","Balzac-Goriot"
"190","temps","NC","Balzac-Goriot"
"191","de","de","Balzac-Goriot"
"192","douloureuse","ADJ","Balzac-Goriot"
"193","littérature","NC","Balzac-Goriot"
"194",",",",","Balzac-Goriot"
"195","il","il","Balzac-Goriot"
"196","est","être","Balzac-Goriot"
"197","nécessaire","ADJ","Balzac-Goriot"
"198","de","de","Balzac-Goriot"
"199","l’","NP","Balzac-Goriot"
"200","employer","INF","Balzac-Goriot"
